Date,GOOGL
1/2/2015 16:00:00,26.48
1/5/2015 16:00:00,25.97
1/6/2015 16:00:00,25.33
1/7/2015 16:00:00,25.26
1/8/2015 16:00:00,25.35
1/9/2015 16:00:00,25.04
1/12/2015 16:00:00,24.85
1/13/2015 16:00:00,25.09
1/14/2015 16:00:00,25.3
1/15/2015 16:00:00,25.2
1/16/2015 16:00:00,25.52
1/20/2015 16:00:00,25.5
1/21/2015 16:00:00,26.02
1/22/2015 16:00:00,26.87
1/23/2015 16:00:00,27.1
1/26/2015 16:00:00,26.84
1/27/2015 16:00:00,26.06
1/28/2015 16:00:00,25.62
1/29/2015 16:00:00,25.66
1/30/2015 16:00:00,26.88
2/2/2015 16:00:00,26.61
2/3/2015 16:00:00,26.67
2/4/2015 16:00:00,26.31
2/5/2015 16:00:00,26.49
2/6/2015 16:00:00,26.69
2/9/2015 16:00:00,26.46
2/10/2015 16:00:00,27.01
2/11/2015 16:00:00,26.9
2/12/2015 16:00:00,27.3
2/13/2015 16:00:00,27.56
2/17/2015 16:00:00,27.25
2/18/2015 16:00:00,27.13
2/19/2015 16:00:00,27.32
2/20/2015 16:00:00,27.09
2/23/2015 16:00:00,26.75
2/24/2015 16:00:00,26.93
2/25/2015 16:00:00,27.37
2/26/2015 16:00:00,27.96
2/27/2015 16:00:00,28.13
3/2/2015 16:00:00,28.75
3/3/2015 16:00:00,28.94
3/4/2015 16:00:00,28.92
3/5/2015 16:00:00,29.07
3/6/2015 16:00:00,28.65
3/9/2015 16:00:00,28.71
3/10/2015 16:00:00,27.99
3/11/2015 16:00:00,27.78
3/12/2015 16:00:00,28.06
3/13/2015 16:00:00,27.65
3/16/2015 16:00:00,28.08
3/17/2015 16:00:00,27.88
3/18/2015 16:00:00,28.31
3/19/2015 16:00:00,28.18
3/20/2015 16:00:00,28.25
3/23/2015 16:00:00,28.27
3/24/2015 16:00:00,28.88
3/25/2015 16:00:00,28.35
3/26/2015 16:00:00,28.18
3/27/2015 16:00:00,27.88
3/30/2015 16:00:00,28.06
3/31/2015 16:00:00,27.74
4/1/2015 16:00:00,27.47
4/2/2015 16:00:00,27.07
4/6/2015 16:00:00,27.2
4/7/2015 16:00:00,27.24
4/8/2015 16:00:00,27.44
4/9/2015 16:00:00,27.4
4/10/2015 16:00:00,27.43
4/13/2015 16:00:00,27.43
4/14/2015 16:00:00,26.99
4/15/2015 16:00:00,27.05
4/16/2015 16:00:00,27.18
4/17/2015 16:00:00,26.64
4/20/2015 16:00:00,27.23
4/21/2015 16:00:00,27.15
4/22/2015 16:00:00,27.46
4/23/2015 16:00:00,27.87
4/24/2015 16:00:00,28.68
4/27/2015 16:00:00,28.31
4/28/2015 16:00:00,28.22
4/29/2015 16:00:00,28.07
4/30/2015 16:00:00,27.44
5/1/2015 16:00:00,27.56
5/4/2015 16:00:00,27.64
5/5/2015 16:00:00,27.15
5/6/2015 16:00:00,26.75
5/7/2015 16:00:00,27.1
5/8/2015 16:00:00,27.45
5/11/2015 16:00:00,27.29
5/12/2015 16:00:00,26.94
5/13/2015 16:00:00,26.97
5/14/2015 16:00:00,27.46
5/15/2015 16:00:00,27.32
5/18/2015 16:00:00,27.33
5/19/2015 16:00:00,27.46
5/20/2015 16:00:00,27.63
5/21/2015 16:00:00,27.84
5/22/2015 16:00:00,27.73
5/26/2015 16:00:00,27.36
5/27/2015 16:00:00,27.71
5/28/2015 16:00:00,27.71
5/29/2015 16:00:00,27.27
6/1/2015 16:00:00,27.46
6/2/2015 16:00:00,27.7
6/3/2015 16:00:00,27.76
6/4/2015 16:00:00,27.58
6/5/2015 16:00:00,27.48
6/8/2015 16:00:00,27.17
6/9/2015 16:00:00,27.11
6/10/2015 16:00:00,27.63
6/11/2015 16:00:00,27.5
6/12/2015 16:00:00,27.37
6/15/2015 16:00:00,27.15
6/16/2015 16:00:00,27.24
6/17/2015 16:00:00,27.33
6/18/2015 16:00:00,27.81
6/19/2015 16:00:00,27.88
6/22/2015 16:00:00,27.98
6/23/2015 16:00:00,28.17
6/24/2015 16:00:00,27.93
6/25/2015 16:00:00,27.9
6/26/2015 16:00:00,27.65
6/29/2015 16:00:00,27.06
6/30/2015 16:00:00,27
7/1/2015 16:00:00,27.17
7/2/2015 16:00:00,27.37
7/6/2015 16:00:00,27.28
7/7/2015 16:00:00,27.5
7/8/2015 16:00:00,27.09
7/9/2015 16:00:00,27.23
7/10/2015 16:00:00,27.81
7/13/2015 16:00:00,28.59
7/14/2015 16:00:00,29.21
7/15/2015 16:00:00,29.2
7/16/2015 16:00:00,30.09
7/17/2015 16:00:00,34.98
7/20/2015 16:00:00,34.64
7/21/2015 16:00:00,34.77
7/22/2015 16:00:00,34.76
7/23/2015 16:00:00,33.74
7/24/2015 16:00:00,32.74
7/27/2015 16:00:00,32.91
7/28/2015 16:00:00,32.98
7/29/2015 16:00:00,33.07
7/30/2015 16:00:00,33.23
7/31/2015 16:00:00,32.88
8/3/2015 16:00:00,33.24
8/4/2015 16:00:00,33.06
8/5/2015 16:00:00,33.66
8/6/2015 16:00:00,33.51
8/7/2015 16:00:00,33.22
